data	arabish	class	CODA	token	pos	lemma	governorate	age	gender
20110404	yebda	arabizi	يبدا	يبدا	IV3MS-IV	بدا	Tunis	25-35	M
20110404	ki	arabizi	كي	كي	SUB_CONJ	كي	Tunis	25-35	M
20110404	jit	arabizi	جيت	جيت	PV-PVSUFF_SUBJ:1S	جا	Tunis	25-35	M
20110404	nek	arabizi	نك	نك	IV1S-IV	نك	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	Teb	arabizi	طاب	طاب	CONJ	طاب	Tunis	25-35	M
20110404	fi	arabizi	في	في	PREP	في	Tunis	25-35	M
20110404	ma9ali	arabizi	ماقال لي	ما+قال+ل+ي	REL_PRON+PV-PVSUFF_SUBJ:3MS+[PREP+PRON_1S]PVSUFF_IO:1S	قال	Tunis	25-35	M
20110404	hedha	arabizi	هاذا	هاذا	DEM_PRON_3MS	هاذا	Tunis	25-35	M
20110404	janbi	arabizi	جنبي	جنب+ي	NOUN+POSS_PRON_1S	جنب	Tunis	25-35	M
20110404	7akni	arabizi	حكني	حك+ني	PV-PVSUFF_SUBJ:3MS+PVSUFF_DO:1S	حكّ	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	sob3	arabizi	صبع	صبع	NOUN	صبع	Tunis	25-35	M
20110404	el	arabizi	ال	ال	DET	ال	Tunis	25-35	M
20110404	sghir	arabizi	صغير	صغير	ADJ	صغير	Tunis	25-35	M
20110404	9rasni	arabizi	قرصني	قرص+ني	PV-PVSUFF_SUBJ:3MS+PVSUFF_DO:1S	قرص	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	3ini	arabizi	عيني	عين+ي	NOUN+POSS_PRON_1S	عين	Tunis	25-35	M
20110404	dam3et	arabizi	دمعت	دمعت	PV-PVSUFF_SUBJ:3FS	دمع	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	9albi	arabizi	قلبي	قلب+ي	NOUN+POSS_PRON_1S	قلب	Tunis	25-35	M
20110404	walla	arabizi	ولا	ولا	CONJ	ولا	Tunis	25-35	M
20110404	ydo9	arabizi	يدق	يدق	IV3MS-IV	دق	Tunis	25-35	M
20110404	,	arabizi	,	,	PUNC	PUNC	Tunis	25-35	M
20110404	mel	arabizi	مال	م+ال	PREP+DET	من	Tunis	25-35	M
20110404	far7a	arabizi	فرحة	فرحة	NOUN-NSUFF_FEM_SG	فرحة	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	chadetni	arabizi	شدّتني	شدّت+ني	PV-PVSUFF_SUBJ:3FS+PVSUFF_DO:1S	شدّ	Tunis	25-35	M
20110404	el	arabizi	ال	ال	DET	ال	Tunis	25-35	M
20110404	gafguéfa	arabizi	ڨفڨافة	ڨفڨافة	NOUN-NSUFF_FEM_SG	ڨفڨافة	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	labni	arabizi	لبني	لب+ني	PV-PVSUFF_SUBJ:3MS+PVSUFF_DO:1S	لب	Tunis	25-35	M
20110404	la3ra9	arabizi	العرق	ال+عرق	DET+NOUN	عرق	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	talla3et	arabizi	طلّعت	طلّعت	PV-PVSUFF_SUBJ:1S	طلّع	Tunis	25-35	M
20110404	ma	arabizi	ما	ما	NEG_PART	ما	Tunis	25-35	M
20110404	habbat	arabizi	هبطت	هبطت	PV-PVSUFF_SUBJ:1S	هبط	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	3ad	arabizi	عاد	عاد	CONJ	عاد	Tunis	25-35	M
20110404	9olet	arabizi	قلت	قلت	PV-PVSUFF_SUBJ:1S	قال	Tunis	25-35	M
20110404	5alini	arabizi	خلّيني	خلّى+ني	CV2S-CV+CVSUFF_DO:1S	خلّى	Tunis	25-35	M
20110404	nekteb	arabizi	نكتب	نكتب	IV1S-IV	كتب	Tunis	25-35	M
20110404	nekteb	arabizi	نكتب	نكتب	IV1S-IV	كتب	Tunis	25-35	M
20110404	,	arabizi	,	,	PUNC	PUNC	Tunis	25-35	M
20110404	ena	arabizi	انا	انا	PRON_1S	هو	Tunis	25-35	M
20110404	hakkeka	arabizi	هكاكا	هكاكا	ADV	هكاكا	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	dar	arabizi	دار	دار	NOUN	دار	Tunis	25-35	M
20110404	el	arabizi	ال	ال	DET	ال	Tunis	25-35	M
20110404	bab	arabizi	باب	باب	NOUN	باب	Tunis	25-35	M
20110404	jari	arabizi	جاري	جاري	ADJ	جاري	Tunis	25-35	M
20110404	elli	arabizi	اللي	اللي	REL_PRON	اللي	Tunis	25-35	M
20110404	yosken	arabizi	يسكن	يسكن	IV3MS-IV	سكن	Tunis	25-35	M
20110404	m9abelni	arabizi	مقابلني	مقابل+ني	ADJ+PRON_1S	مقابل	Tunis	25-35	M
20110404	,	arabizi	,	,	PUNC	PUNC	Tunis	25-35	M
20110404	7alitlou	arabizi	حليت له	حليت+ل+ه	PV-PVSUFF_SUBJ:1S+[PREP+PRON_3MS]PVSUFF_IO:3MS	حلّ	Tunis	25-35	M
20110404	el	arabizi	ال	ال	DET	ال	Tunis	25-35	M
20110404	beb	arabizi	باب	باب	NOUN	باب	Tunis	25-35	M
20110404	le7ya	arabizi	لحية	لحية	NOUN-NSUFF_FEM_SG	لحية	Tunis	25-35	M
20110404	ghoufa	arabizi	غوفة	غوفة	ADJ-NSUFF_FEM_SG	غوف	Tunis	25-35	M
20110404	men	arabizi	من	من	PREP	من	Tunis	25-35	M
20110404	3am	arabizi	عام	عام	NOUN	عام	Tunis	25-35	M
20110404	AREB3A	arabizi	الرابع	ال+رابع	DET+ADJ_NUM	رابع	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	labes	arabizi	لاباس	لاباس	ADV	لاباس	Tunis	25-35	M
20110404	jelbeb	arabizi	جلباب	جلباب	NOUN	جلباب	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	3ara9iya	arabizi	عرّقيّة	عرّقيّة	ADJ-NSUFF_FEM_SG	عرّقيّة	Tunis	25-35	M
20110404	wou	arabizi	و	و	CONJ	و	Tunis	25-35	M
20110404	barnous	arabizi	برنوس	برنوس	NOUN	برنوس	Tunis	25-35	M
20110404	m9amet	arabizi	مقمّط	مقمّط	ADJ	مقمّط	Tunis	25-35	M
20110404	fi	arabizi	في	في	PREP	في	Tunis	25-35	M
20110404	jed	arabizi	جد	جد	NOUN	جد	Tunis	25-35	M
20110404	ommou	arabizi	امّه	امّ+ه	NOUN+POSS_PRON_3MS	امّ	Tunis	25-35	M
20110404	...	arabizi	...	...	PUNC	PUNC	Tunis	25-35	M

20110404	msawek	arabizi	مسوّك	مسوّك	ADJ	مسوّك	Tunis	25-35	M
