data	arabish	class	CODA	token	pos	lemma	governorate	age	gender
20150902	3rabfieurope2011:	arabizi	عرب في اوروبا 2011 :	عرب+في+اوروبا+2011+:	NOUN+PREP+NOUN_PROP+NOUN_NUM+PUNC	عربي	Bizerte	25-35	M
20150902	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش	Bizerte	25-35	M
20150902	tchoufou	arabizi	تشوفوا	تشوفوا	IV2P-IV-IVSUFF_SUBJ:P	شاف	Bizerte	25-35	M
20150902	l3icha	arabizi	العيشة	ال+عيشة	DET+NOUN-NSUFF_FEM_SG	عيشة	Bizerte	25-35	M
20150902	fi8al	arabizi	فال	في+ال	PREP+DET	في	Bizerte	25-35	M
20150902	5orba	arabizi	غربة	غربة	NOUN-NSUFF_FEM_SG	غربة	Bizerte	25-35	M
20150902	?	arabizi	؟	؟	PUNC	PUNC	Bizerte	25-35	M

20150902	Ena	arabizi	انا	انا	PRON_1S	هو	Bizerte	25-35	M
20150902	berjoulia	arabizi	بالرجولية	ب+ال+رجولية	PREP+DET+NOUN-NSUFF_FEM_SG	رجوليّة	Bizerte	25-35	M
20150902	kont	arabizi	كنت	كنت	PV-PVSUFF_SUBJ:1S	كان	Bizerte	25-35	M
20150902	8ebel	arabizi	هابل	هابل	ADJ	هابل	Bizerte	25-35	M
20150902	3al	arabizi	عال	ع+ال	PREP+DET	على	Bizerte	25-35	M
20150902	5arja	arabizi	خرجة	خرجة	NOUN-NSUFF_FEM_SG	خرجة	Bizerte	25-35	M
20150902	mais	foreign	mais	foreign	foreign	foreign	Bizerte	25-35	M
20150902	ba3d	arabizi	بعد	بعد	ADV	بعد	Bizerte	25-35	M
20150902	ma5rejt	arabizi	ماخرجت	ما+خرجت	REL_ADV+PV-PVSUFF_SUBJ:1S	خرج	Bizerte	25-35	M
20150902	kra8et8a	arabizi	كرهتها	كرهت+ها	PV-PVSUFF_SUBJ:1S+PVSUFF_DO:3FS	كره	Bizerte	25-35	M
20150902	w	arabizi	و	و	CONJ	و	Bizerte	25-35	M
20150902	3eftha	arabizi	عفتها	عفت+ها	PV-PVSUFF_SUBJ:1S+PVSUFF_DO:3FS	عاف	Bizerte	25-35	M
20150902	,	arabizi	,	,	PUNC	PUNC	Bizerte	25-35	M

20150902	ya	arabizi	يا	يا	VOC_PART	يا	Bizerte	25-35	M
20150902	bou9alb	arabizi	بوقلب	بو+قلب	[PREP+NOUN]ADJ	قلب	Bizerte	25-35	M
20150902	wehed	arabizi	واحد	واحد	PRON_INDEF	واحد	Bizerte	25-35	M
20150902	t9oul	arabizi	تقول	تقول	IV2S-IV	قال	Bizerte	25-35	M
20150902	3lih	arabizi	عليه	على+ه	PREP+PRON_3MS	على	Bizerte	25-35	M
20150902	y3ich	arabizi	يعيش	يعيش	IV3MS-IV	عاش	Bizerte	25-35	M
20150902	fi	arabizi	في	في	PREP	في	Bizerte	25-35	M
