data	arabish	class	CODA	token	pos	lemma	governorate	age	gender
20150301	R7	foreign	R7	foreign	foreign	foreign	/	35-50	F
20150301	patee	arabizi	باتي	باتي	NOUN	باتي	/	35-50	F
20150301	dieri	arabizi	دياري	دياري	ADJ	دياري	/	35-50	F
20150301	w	arabizi	و	و	CONJ	و	/	35-50	F
20150301	bniiiiiiiiiinnnn	arabizi	بنين	بنين	ADJ	بنين	/	35-50	F
20150301	recette	foreign	recette	foreign	foreign	foreign	/	35-50	F
20150301	:	arabizi	:	:	PUNC	PUNC	/	35-50	F

20150301	3	arabizi	3	3	NOUN_NUM	NOUN_NUM	/	35-50	F
20150301	kissen	arabizi	كيسان	كيسان	NOUN	كاس	/	35-50	F
20150301	farine	foreign	farine	foreign	foreign	foreign	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	kes	arabizi	كاس	كاس	NOUN	كاس	/	35-50	F
20150301	7lib	arabizi	حليب	حليب	NOUN	حليب	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	chtar	arabizi	شطر	شطر	NOUN_QUANT	شطر	/	35-50	F
20150301	kess	arabizi	كاس	كاس	NOUN	كاس	/	35-50	F
20150301	zit	arabizi	زيت	زيت	NOUN	زيت	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	/	35-50	F
20150301	kbira	arabizi	كبيرة	كبيرة	ADJ-NSUFF_FEM_SG	كبير	/	35-50	F
20150301	5miret	arabizi	خميرة	خميرة	NOUN-NSUFF_FEM_SG	خميرة	/	35-50	F
20150301	5obz	arabizi	خبز	خبز	NOUN	خبز	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	/	35-50	F
20150301	kbira	arabizi	كبيرة	كبيرة	ADJ-NSUFF_FEM_SG	كبير	/	35-50	F
20150301	5miret	arabizi	خميرة	خميرة	NOUN-NSUFF_FEM_SG	خميرة	/	35-50	F
20150301	gateaux	foreign	gateaux	foreign	foreign	foreign	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	/	35-50	F
20150301	s8ira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	/	35-50	F
20150301	mel7	arabizi	ملح	ملح	NOUN	ملح	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	m8arfa	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	/	35-50	F
20150301	s8ira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	/	35-50	F
20150301	soker	arabizi	سكر	سكر	NOUN	سكّر	/	35-50	F

20150301	7achw	arabizi	حشو	حشو	NOUN	حشو	/	35-50	F
20150301	:	arabizi	:	:	PUNC	PUNC	/	35-50	F
20150301	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	/	35-50	F
20150301	3adhmet	arabizi	عظمات	عظمات	NOUN-NSUFF_FEM_PL	عظم	/	35-50	F
20150301	masmoutin	arabizi	مصموطين	مصموطين	ADJ-NSUFF_MASC_PL	مصموط	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	2	arabizi	2	2	NOUN_NUM	NOUN_NUM	/	35-50	F
20150301	batata	arabizi	بطاطة	بطاطة	NOUN-NSUFF_FEM_SG	بطاطة	/	35-50	F
20150301	mo9liya	arabizi	مقليّة	مقليّة	ADJ-NSUFF_FEM_SG	مقلي	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	thon	foreign	thon	foreign	foreign	foreign	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	ma3dnous	arabizi	معدنوس	معدنوس	NOUN	معدنوس	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	zitoun	arabizi	زيتون	زيتون	NOUN-NSUFF_MASC_PL	زيتون	/	35-50	F
20150301	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150301	jben	arabizi	جبن	جبن	NOUN	جبن	/	35-50	F
20150301	rapé	foreign	rapé	foreign	foreign	foreign	/	35-50	F

20150301	w	arabizi	و	و	CONJ	و	/	35-50	F
20150301	tfourem	arabizi	تفورم	تفورم	CV2S-CV	فورم	/	35-50	F
20150301	kima	arabizi	كيما	كيما	SUB_CONJ	كيما	/	35-50	F
20150301	theb	arabizi	تحبّ	تحبّ	IV2S-IV	حبّ	/	35-50	F

20150411	Brik	arabizi	بريك	بريك	NOUN_PROP	بريك	/	35-50	F
20150411	el	arabizi	ال	ال	DET	ال	/	35-50	F
20150411	mahdiya	arabizi	مهدية	مهدية	NOUN_PROP	مهدية	/	35-50	F
20150411	sa7a	arabizi	صحّة	صحّة	[NOUN-NSUFF_FEM_SG]INTERJ	صحّة	/	35-50	F
20150411	w	arabizi	و	و	CONJ	و	/	35-50	F
20150411	bechfee	arabizi	بالشفى	ب+ال+شفى	[PREP+DET+NOUN]INTERJ	شفى	/	35-50	F

20150411	r7	foreign	r7	foreign	foreign	foreign	/	35-50	F
20150411	Recette	foreign	Recette	foreign	foreign	foreign	/	35-50	F
20150411	brik	arabizi	بريك	بريك	NOUN_PROP	بريك	/	35-50	F
20150411	mahdia	arabizi	مهدية	مهدية	NOUN_PROP	مهدية	/	35-50	F
20150411	_	arabizi	_	_	PUNC	PUNC	/	35-50	F

20150411	Kayil	arabizi	كيّل	كيّل	CV2S-CV	كيّل	/	35-50	F
20150411	bay	arabizi	باي	ب+اي	PREP+PRON_INDEF	اي	/	35-50	F
20150411	7aja	arabizi	حاجة	حاجة	NOUN-NSUFF_FEM_SG	حاجة	/	35-50	F
20150411	(	arabizi	)	)	PUNC	PUNC	/	35-50	F
20150411	kess	arabizi	كاس	كاس	NOUN	كاس	/	35-50	F
20150411	sa7fa	arabizi	صحفة	صحفة	NOUN-NSUFF_FEM_SG	صحفة	/	35-50	F
20150411	finjen	arabizi	فنجان	فنجان	NOUN	فنجان	/	35-50	F
20150411	......	arabizi	......	......	PUNC	PUNC	/	35-50	F
20150411	)	arabizi	(	(	PUNC	PUNC	/	35-50	F

20150411	w	arabizi	و	و	CONJ	و	/	35-50	F
20150411	_	arabizi	_	_	PUNC	PUNC	/	35-50	F
20150411	Ajina	arabizi	عجينة	عجينة	NOUN-NSUFF_FEM_SG	عجينة	/	35-50	F
20150411	:	arabizi	:	:	PUNC	PUNC	/	35-50	F
20150411	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	/	35-50	F
20150411	kilet	arabizi	كيلات	كيلات	NOUN_QUANT-NSUFF_FEM_PL	كيلة	/	35-50	F
20150411	farina	arabizi	فارينة	فارينة	NOUN-NSUFF_FEM_SG	فارينة	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	/	35-50	F
20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	/	35-50	F
20150411	w	arabizi	و	و	CONJ	و	/	35-50	F
20150411	4	arabizi	4	4	NOUN_NUM	NOUN_NUM	/	35-50	F
20150411	mgharef	arabizi	مغارف	مغارف	NOUN	مغرفة	/	35-50	F
20150411	mekla	arabizi	ماكلة	ماكلة	NOUN-NSUFF_FEM_SG	ماكلة	/	35-50	F
20150411	kbar	arabizi	كبار	كبار	ADJ	كبير	/	35-50	F
20150411	zebda	arabizi	زبدة	زبدة	NOUN-NSUFF_FEM_SG	زبدة	/	35-50	F
20150411	deyba	arabizi	ذايبة	ذايبة	ADJ-NSUFF_FEM_SG	ذايب	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	chweya	arabizi	شويّة	شويّة	[NOUN_QUANT]ADV	شويّة	/	35-50	F
20150411	zhar	arabizi	زهر	زهر	NOUN	زهر	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	mei	arabizi	ما	ما	NOUN	ما	/	35-50	F
20150411	deifi	arabizi	دافي	دافي	ADJ	دافي	/	35-50	F

20150411	_	arabizi	_	_	PUNC	PUNC	/	35-50	F
20150411	Hachw	arabizi	حشو	حشو	NOUN	حشو	/	35-50	F
20150411	:	arabizi	:	:	PUNC	PUNC	/	35-50	F

20150411	nefs	arabizi	نفس	نفس	NOUN_QUANT	نفس	/	35-50	F
20150411	el	arabizi	ال	ال	DET	ال	/	35-50	F
20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	/	35-50	F
20150411	keyil	arabizi	كيّل	كيّل	CV2S-CV	كيّل	/	35-50	F
20150411	biha	arabizi	بها	ب+ها	PREP+PRON_3FS	ب	/	35-50	F
20150411	1	arabizi	1	1	NOUN_NUM	NOUN_NUM	/	35-50	F
20150411	kila	arabizi	كيلة	كيلة	NOUN_QUANT-NSUFF_FEM_SG	كيلة	/	35-50	F
20150411	louz	arabizi	لوز	لوز	NOUN	لوز	/	35-50	F
20150411	abyedh	arabizi	ابيض	ابيض	ADJ	ابيض	/	35-50	F
20150411	mer7i	arabizi	مرحي	مرحي	ADJ	مرحي	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	mi7kar	arabizi	محكار	محكار	NOUN	محكار	/	35-50	F
20150411	3	arabizi	3	3	NOUN_NUM	NOUN_NUM	/	35-50	F
20150411	mgharef	arabizi	مغرفة	مغرفة	NOUN-NSUFF_FEM_SG	مغرفة	/	35-50	F
20150411	sokir	arabizi	سكر	سكر	NOUN	سكّر	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	recha	arabizi	رشّة	رشّة	NOUN_QUANT-NSUFF_FEM_SG	رشة	/	35-50	F
20150411	sghira	arabizi	صغيرة	صغيرة	ADJ-NSUFF_FEM_SG	صغير	/	35-50	F
20150411	9erfa	arabizi	قرفة	قرفة	NOUN-NSUFF_FEM_SG	قرفة	/	35-50	F
20150411	+	arabizi	+	+	SYM	SYM	/	35-50	F
20150411	chweya	arabizi	شويّة	شويّة	[NOUN_QUANT]ADV	شويّة	/	35-50	F
20150411	9chour	arabizi	قشور	قشور	NOUN	قشرة	/	35-50	F
20150411	lim	arabizi	ليم	ليم	NOUN	ليم	/	35-50	F
