TYPE	data	arabish	class	CODA	token	pos	lemma	governorate	age	gender
forum	20150902	3rabfieurope2011:	arabizi	عرب في اوروبا 2011 :	عرب+في+اوروبا+2011+:	NOUN+PREP+NOUN_PROP+NOUN_NUM+PUNC	عربي	Bizerte	25-35	M
forum	20150902	kifech	arabizi	كيفاش	كيفاش	INTERROG_ADV	كيفاش	Bizerte	25-35	M
forum	20150902	tchoufou	arabizi	تشوفوا	تشوفوا	IV2P-IV-IVSUFF_SUBJ:P	شاف	Bizerte	25-35	M
forum	20150902	l3icha	arabizi	العيشة	ال+عيشة	DET+NOUN-NSUFF_FEM_SG	عيشة	Bizerte	25-35	M
forum	20150902	fi8al	arabizi	فال	في+ال	PREP+DET	في	Bizerte	25-35	M
forum	20150902	5orba	arabizi	غربة	غربة	NOUN-NSUFF_FEM_SG	غربة	Bizerte	25-35	M
forum	20150902	?	arabizi	؟	؟	PUNC	PUNC	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150902	Ena	arabizi	انا	انا	PRON_1S	هو	Bizerte	25-35	M
forum	20150902	berjoulia	arabizi	بالرجولية	ب+ال+رجولية	PREP+DET+NOUN-NSUFF_FEM_SG	رجوليّة	Bizerte	25-35	M
forum	20150902	kont	arabizi	كنت	كنت	PV-PVSUFF_SUBJ:1S	كان	Bizerte	25-35	M
forum	20150902	8ebel	arabizi	هابل	هابل	ADJ	هابل	Bizerte	25-35	M
forum	20150902	3al	arabizi	عال	ع+ال	PREP+DET	على	Bizerte	25-35	M
forum	20150902	5arja	arabizi	خرجة	خرجة	NOUN-NSUFF_FEM_SG	خرجة	Bizerte	25-35	M
forum	20150902	mais	foreign	mais	foreign	foreign	foreign	Bizerte	25-35	M
forum	20150902	ba3d	arabizi	بعد	بعد	ADV	بعد	Bizerte	25-35	M
forum	20150902	ma5rejt	arabizi	ماخرجت	ما+خرجت	REL_ADV+PV-PVSUFF_SUBJ:1S	خرج	Bizerte	25-35	M
forum	20150902	kra8et8a	arabizi	كرهتها	كرهت+ها	PV-PVSUFF_SUBJ:1S+PVSUFF_DO:3FS	كره	Bizerte	25-35	M
forum	20150902	w	arabizi	و	و	CONJ	و	Bizerte	25-35	M
forum	20150902	3eftha	arabizi	عفتها	عفت+ها	PV-PVSUFF_SUBJ:1S+PVSUFF_DO:3FS	عاف	Bizerte	25-35	M
forum	20150902	,	arabizi	,	,	PUNC	PUNC	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150902	ya	arabizi	يا	يا	VOC_PART	يا	Bizerte	25-35	M
forum	20150902	bou9alb	arabizi	بوقلب	بو+قلب	[PREP+NOUN]ADJ	قلب	Bizerte	25-35	M
forum	20150902	wehed	arabizi	واحد	واحد	PRON_INDEF	واحد	Bizerte	25-35	M
forum	20150902	t9oul	arabizi	تقول	تقول	IV2S-IV	قال	Bizerte	25-35	M
forum	20150902	3lih	arabizi	عليه	على+ه	PREP+PRON_3MS	على	Bizerte	25-35	M
forum	20150902	y3ich	arabizi	يعيش	يعيش	IV3MS-IV	عاش	Bizerte	25-35	M
forum	20150902	fi	arabizi	في	في	PREP	في	Bizerte	25-35	M
forum	20150902	alcatraz	arabizi	الكتراز	الكتراز	NOUN_PROP	الكتراز	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150919	m5abbi2361	arabizi	مخبّي2361	مخبّي2361	NOUN_PROP	مخبّي2361	Bizerte	25-35	M
forum	20150919	m5abbi1900	arabizi	مخبّي1900	مخبّي1900	NOUN_PROP	مخبّي1900	Bizerte	25-35	M
forum	20150919	:	arabizi	:	:	PUNC	PUNC	Bizerte	25-35	M
forum	20150919	a8na	arabizi	احنا	احنا	PRON_1P	هو	Bizerte	25-35	M
forum	20150919	fi	arabizi	في	في	PREP	في	Bizerte	25-35	M
forum	20150919	tounes	arabizi	تونس	تونس	NOUN_PROP	تونس	Bizerte	25-35	M
forum	20150919	konna	arabizi	كنّا	كنّا	PV-PVSUFF_SUBJ:1P	كان	Bizerte	25-35	M
forum	20150919	far8anin	arabizi	فرحانين	فرحانين	ADJ-NSUFF_MASC_PL	فرحان	Bizerte	25-35	M
forum	20150919	b	arabizi	ب	ب	PREP	ب	Bizerte	25-35	M
forum	20150919	révolution	foreign	révolution	foreign	foreign	foreign	Bizerte	25-35	M
forum	20150919	ama	arabizi	اما	اما	CONJ	اما	Bizerte	25-35	M
forum	20150919	ba3dika	arabizi	بعديكا	بعديكا	ADV	بعد	Bizerte	25-35	M
forum	20150919	tesdamna	arabizi	تصدمنا	تصدمنا	PV_PASS-PVSUFF_SUBJ:1P	صدم	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150919	w	arabizi	و	و	CONJ	و	Bizerte	25-35	M
forum	20150919	kif	arabizi	كيف	كيف	SUB_CONJ	كيف	Bizerte	25-35	M
forum	20150919	5rej	arabizi	خرج	خرج	PV-PVSUFF_SUBJ:3MS	خرج	Bizerte	25-35	M
forum	20150919	w	arabizi	و	و	CONJ	و	Bizerte	25-35	M
forum	20150919	9al	arabizi	قال	قال	PV-PVSUFF_SUBJ:3MS	قال	Bizerte	25-35	M
forum	20150919	raw	arabizi	راه	را+ه	FOCUS_PART+PRON_3MS	هو	Bizerte	25-35	M
forum	20150919	4alltouni	arabizi	غالطوني	غالطوا+ني	PV-PVSUFF_SUBJ:3P+PVSUFF_DO:1S	غالط	Bizerte	25-35	M
forum	20150919	9olna	arabizi	قلنا	قلنا	PV-PVSUFF_SUBJ:1P	قال	Bizerte	25-35	M
forum	20150919	8aw	arabizi	هاه	ها+ه	FOCUS_PART+PRON_3MS	هو	Bizerte	25-35	M
forum	20150919	rabbi	arabizi	ربّي	ربّ+ي	NOUN+POSS_PRON_1S	ربّ	Bizerte	25-35	M
forum	20150919	8de8	arabizi	هداه	هدى+ه	PV-PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS	هدى	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150919	mais	foreign	mais	foreign	foreign	foreign	Bizerte	25-35	M
forum	20150919	ba3d	arabizi	بعد	بعد	ADV	بعد	Bizerte	25-35	M
forum	20150919	tla3	arabizi	طلع	طلع	PV-PVSUFF_SUBJ:3MS	طلع	Bizerte	25-35	M
forum	20150919	el	arabizi	ال	ال	DET	ال	Bizerte	25-35	M
forum	20150919	5onnar	arabizi	خنّار	خنّار	NOUN	خنّار	Bizerte	25-35	M
forum	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>	<eos>
forum	20150919	m5abbi2107	arabizi	مخبّي2107	مخبّي2107	NOUN_PROP	مخبّي2107	Bizerte	35-50	M
forum	20150919	m5abbi2395	arabizi	مخبّي2395	مخبّي2395	NOUN_PROP	مخبّي2395	Bizerte	35-50	M
forum	20150919	:	arabizi	:	:	PUNC	PUNC	Bizerte	35-50	M
forum	20150919	Justement	foreign	Justement	foreign	foreign	foreign	Bizerte	35-50	M
